"طابع زمني","النوع","الفرقة","العمر","الطول","الوزن","مقاس الحذاء"
"2022/03/30 1:47:30 ص غرينتش+2","ذكر","الأعدادية","23","178","74","43"
"2022/03/30 1:55:51 ص غرينتش+2","أنثى","الثالثة","21","155","64","39"
"2022/03/30 1:55:58 ص غرينتش+2","ذكر","الثالثة","21","165","65","41"
"2022/03/30 1:56:00 ص غرينتش+2","ذكر","الثالثة","22","173","80","44"
"2022/03/30 1:59:30 ص غرينتش+2","ذكر","مش في الكلية اصلا","23","170","82","44"
"2022/03/30 2:09:24 ص غرينتش+2","ذكر","الثالثة","23","181","92","45"
"2022/03/30 2:15:05 ص غرينتش+2","أنثى","مش في الكلية اصلا","21","170","65","38"
"2022/03/30 2:16:47 ص غرينتش+2","ذكر","الرابعة","23","190","112","48"
"2022/03/30 2:17:47 ص غرينتش+2","ذكر","الثالثة","20","186","113","45"
"2022/03/30 2:18:10 ص غرينتش+2","ذكر","الثالثة","22","181","70","42"
"2022/03/30 2:27:17 ص غرينتش+2","ذكر","الثالثة","22","183","68","44"
"2022/03/30 2:35:09 ص غرينتش+2","ذكر","الرابعة","22","176","90","45"
"2022/03/30 2:42:11 ص غرينتش+2","أنثى","الثالثة","22","170","61","40"
"2022/03/30 3:01:16 ص غرينتش+2","ذكر","الثالثة","21","176","76","42"
"2022/03/30 3:45:41 ص غرينتش+2","ذكر","الرابعة","22","170","83","42"
"2022/03/30 3:56:49 ص غرينتش+2","ذكر","الرابعة","22","188","75","45"
"2022/03/30 4:24:02 ص غرينتش+2","أنثى","الرابعة","23","156","74","39"
"2022/03/30 4:40:25 ص غرينتش+2","ذكر","الرابعة","23","180","78","44"
"2022/03/30 5:36:40 ص غرينتش+2","ذكر","الثالثة","22","158","65","42"
"2022/03/30 6:28:30 ص غرينتش+2","ذكر","الثالثة","21","170","75","44"
"2022/03/30 6:29:21 ص غرينتش+2","ذكر","الثالثة","21","173","68","42"
"2022/03/30 6:53:03 ص غرينتش+2","ذكر","الثالثة","22","174","70","43"
"2022/03/30 7:04:13 ص غرينتش+2","ذكر","الثالثة","22","159","59","42"
"2022/03/30 7:16:48 ص غرينتش+2","ذكر","الرابعة","24","162","61","40"
"2022/03/30 7:26:03 ص غرينتش+2","ذكر","الثالثة","21","170","72","42"
"2022/03/30 7:39:36 ص غرينتش+2","ذكر","الثالثة","22","178","86","45"
"2022/03/30 7:51:10 ص غرينتش+2","ذكر","مش في الكلية اصلا","23","176","75","45"
"2022/03/30 8:08:21 ص غرينتش+2","ذكر","الثالثة","23","172","77","41"
"2022/03/30 8:25:08 ص غرينتش+2","ذكر","الثالثة","22","185","70","43"
"2022/03/30 8:55:11 ص غرينتش+2","ذكر","الرابعة","23","168","74","43"
"2022/03/30 9:03:34 ص غرينتش+2","ذكر","الثالثة","22","176","72","41"
"2022/03/30 9:33:17 ص غرينتش+2","ذكر","الرابعة","22","180","190","42"
"2022/03/30 9:36:19 ص غرينتش+2","ذكر","الثالثة","22","170","65","43"
"2022/03/30 9:45:33 ص غرينتش+2","ذكر","الرابعة","23","185","75","42"
"2022/03/30 10:21:20 ص غرينتش+2","ذكر","الرابعة","23","173","71","42"
"2022/03/30 10:56:43 ص غرينتش+2","ذكر","مش في الكلية اصلا","23","183","75","46"
"2022/03/30 11:40:45 ص غرينتش+2","ذكر","الثالثة","23","182","85","45"
"2022/03/30 12:33:39 م غرينتش+2","أنثى","الثانية","20","158","50","37"
"2022/03/30 12:36:32 م غرينتش+2","أنثى","الثالثة","21","165","70","40"
"2022/03/30 12:55:00 م غرينتش+2","ذكر","الثالثة","21","168","80","43"
"2022/03/30 1:02:15 م غرينتش+2","ذكر","الثالثة","23","170","60","40"
"2022/03/30 1:32:47 م غرينتش+2","ذكر","الثانية","21","183","70","45"
"2022/03/30 1:33:11 م غرينتش+2","ذكر","مش في الكلية اصلا","16","160","47","40"
"2022/03/30 1:56:35 م غرينتش+2","ذكر","الثانية","21","177","84","45"
"2022/03/30 2:06:41 م غرينتش+2","ذكر","مش في الكلية اصلا","25","172","64","42"
"2022/03/30 2:07:05 م غرينتش+2","ذكر","الثالثة","22","172","73","43"
"2022/03/30 2:22:21 م غرينتش+2","ذكر","الثانية","20","180","72","44"
"2022/03/30 2:23:48 م غرينتش+2","ذكر","ألاولي","20","174","77","42"
"2022/03/30 2:38:54 م غرينتش+2","ذكر","الثانية","20","183","73","43"
"2022/03/30 2:41:04 م غرينتش+2","ذكر","ألاولي","19","174","80","44"
"2022/03/30 2:47:35 م غرينتش+2","أنثى","الرابعة","23","163","95","40"
"2022/03/30 2:53:48 م غرينتش+2","ذكر","الثالثة","22","176","88","45"
"2022/03/30 3:06:48 م غرينتش+2","أنثى","الرابعة","23","160","50","37"
"2022/03/30 3:10:37 م غرينتش+2","ذكر","الثانية","22","168","80","42"
"2022/03/30 3:14:06 م غرينتش+2","ذكر","مش في الكلية اصلا","24","184","100","48"
"2022/03/30 3:19:42 م غرينتش+2","ذكر","مش في الكلية اصلا","26","174","64","41"
"2022/03/30 3:34:45 م غرينتش+2","أنثى","الثانية","21","164","62","40"
"2022/03/30 3:35:45 م غرينتش+2","ذكر","الرابعة","23","177","80","43"
"2022/03/30 3:45:10 م غرينتش+2","ذكر","الأعدادية","20","186","70","46"
"2022/03/30 3:53:57 م غرينتش+2","ذكر","الثانية","21","193","87","44"
"2022/03/30 3:54:29 م غرينتش+2","أنثى","الرابعة","23","162","65","38"
"2022/03/30 3:58:42 م غرينتش+2","ذكر","الثانية","21","174","80","42"
"2022/03/30 4:26:12 م غرينتش+2","أنثى","الثانية","20","164","75","40"
"2022/03/30 4:30:54 م غرينتش+2","ذكر","الأعدادية","19","178","67","43"
"2022/03/30 4:46:54 م غرينتش+2","أنثى","الأعدادية","18","162","58","38"
"2022/03/30 4:46:57 م غرينتش+2","ذكر","الثالثة","23","175","60","43"
"2022/03/30 5:34:50 م غرينتش+2","ذكر","مش في الكلية اصلا","25","179","70","43"
"2022/03/30 5:41:22 م غرينتش+2","ذكر","الثانية","23","174","91","45"
"2022/03/30 5:54:43 م غرينتش+2","ذكر","الثانية","21","171","73","42"
"2022/03/30 6:51:01 م غرينتش+2","ذكر","ألاولي","20","160","62","41"
"2022/03/30 7:12:59 م غرينتش+2","ذكر","الرابعة","23","165","57","40"
"2022/03/30 7:51:11 م غرينتش+2","ذكر","الرابعة","25","186","80","44"
"2022/03/30 8:53:32 م غرينتش+2","ذكر","الثالثة","22 ","173","70","43"
"2022/03/30 9:52:33 م غرينتش+2","ذكر","الرابعة","22","180","85","43"
"2022/03/30 10:00:52 م غرينتش+2","أنثى","الثانية","20","160","52","39"
"2022/03/30 10:59:28 م غرينتش+2","ذكر","الأعدادية","21","167","70","42"
"2022/03/30 11:51:28 م غرينتش+2","ذكر","ألاولي","19","183","83","45"
"2022/03/31 12:04:14 ص غرينتش+2","ذكر","الرابعة","23","185","100","46"
"2022/03/31 12:05:26 ص غرينتش+2","ذكر","الرابعة","22","173","62","41"